"subnum" "condtion" "blocknum" "blockonset" "blockonset_real" "timepoint_TR" "versions"
"12" "2b" 7 274172 225.993 113 "B"
"12" "0b" 8 314173 265.994 133 "B"
"12" "2b" 9 349174 300.995 151 "B"
"12" "0b" 10 387175 338.996 170 "B"
"12" "2b" 11 428176 379.997 190 "B"
"12" "0b" 12 467177 418.998 210 "B"
"13" "2b" 1 58600 0 1 "B"
"13" "0b" 2 96601 38.001 19 "B"
"13" "2b" 3 137602 79.002 40 "B"
"13" "0b" 4 176603 118.003 59 "B"
"13" "2b" 5 211604 153.004 77 "B"
"13" "0b" 6 247592 188.992 95 "B"
"13" "2b" 7 285593 226.993 114 "B"
"13" "0b" 8 320594 261.994 131 "B"
"13" "2b" 9 361595 302.995 152 "B"
"13" "0b" 10 401596 342.996 172 "B"
"13" "2b" 11 438597 379.997 190 "B"
"13" "0b" 12 478598 419.998 210 "B"
"14" "0b" 1 37794 0 1 "A"
"14" "2b" 2 74795 37.001 19 "A"
"14" "0b" 3 114796 77.002 39 "A"
"14" "2b" 4 150797 113.003 57 "A"
"14" "0b" 5 188798 151.004 76 "A"
"14" "2b" 6 229800 192.006 96 "A"
"14" "0b" 7 265801 228.007 114 "A"
"14" "2b" 8 306802 269.008 135 "A"
"14" "0b" 9 345790 307.996 154 "A"
"14" "2b" 10 380790 342.996 172 "A"
"14" "0b" 11 420792 382.998 192 "A"
"14" "2b" 12 458793 420.999 211 "A"
"15" "2b" 1 61776 0 1 "B"
"15" "0b" 2 96777 35.001 18 "B"
"15" "2b" 3 131778 70.002 35 "B"
"15" "0b" 4 171780 110.004 55 "B"
"15" "2b" 5 212781 151.005 76 "B"
"15" "0b" 6 252782 191.006 96 "B"
"15" "2b" 7 290783 229.007 115 "B"
"15" "0b" 8 326784 265.008 133 "B"
"15" "2b" 9 362785 301.009 151 "B"
"15" "0b" 10 401786 340.01 170 "B"
"15" "2b" 11 438787 377.011 189 "B"
"15" "0b" 12 476788 415.012 208 "B"
"16" "0b" 1 47853 0 1 "A"
"16" "2b" 2 88854 41.001 21 "A"
"16" "0b" 3 124855 77.002 39 "A"
"16" "2b" 4 165843 117.99 59 "A"
"16" "0b" 5 205844 157.991 79 "A"
"16" "2b" 6 241845 193.992 97 "A"
"16" "0b" 7 281846 233.993 117 "A"
"16" "2b" 8 319847 271.994 136 "A"
"16" "0b" 9 357848 309.995 155 "A"
"16" "2b" 10 392849 344.996 173 "A"
"16" "0b" 11 431850 383.997 192 "A"
"16" "2b" 12 468851 420.998 211 "A"
"17" "2b" 1 55368 0 1 "B"
"17" "0b" 2 95369 40.001 20 "B"
"17" "2b" 3 133370 78.002 39 "B"
"17" "0b" 4 172371 117.003 59 "B"
"17" "2b" 5 213372 158.004 79 "B"
"17" "0b" 6 251360 195.992 98 "B"
"17" "2b" 7 292361 236.993 119 "B"
"17" "0b" 8 328362 272.994 137 "B"
"17" "2b" 9 365363 309.995 155 "B"
"17" "0b" 10 405364 349.996 175 "B"
"17" "2b" 11 441365 385.997 193 "B"
"17" "0b" 12 476366 420.998 211 "B"
"18" "0b" 1 53417 0 1 "A"
"18" "2b" 2 88418 35.001 18 "A"
"18" "0b" 3 123419 70.002 35 "A"
"18" "2b" 4 161420 108.003 54 "A"
