"subnum" "condtion" "blocknum" "blockonset" "blockonset_real" "timepoint_TR" "versions"
"57" "0b" 6 239078 183.993 92 "B"
"57" "2b" 7 275078 219.993 110 "B"
"57" "0b" 8 315080 259.995 130 "B"
"57" "2b" 9 356081 300.996 151 "B"
"57" "0b" 10 396082 340.997 171 "B"
"57" "2b" 11 434083 378.998 190 "B"
"57" "0b" 12 470084 414.999 208 "B"
"58" "0b" 1 50935 0 1 "A"
"58" "2b" 2 88936 38.001 19 "A"
"58" "0b" 3 123937 73.002 37 "A"
"58" "2b" 4 160938 110.003 55 "A"
"58" "0b" 5 198939 148.004 74 "A"
"58" "2b" 6 239940 189.005 95 "A"
"58" "0b" 7 278941 228.006 114 "A"
"58" "2b" 8 319929 268.994 135 "A"
"58" "0b" 9 355930 304.995 153 "A"
"58" "2b" 10 390931 339.996 170 "A"
"58" "0b" 11 430932 379.997 190 "A"
"58" "2b" 12 466933 415.998 208 "A"
"59" "0b" 1 87080 0 1 "A"
"59" "2b" 2 124081 37.001 19 "A"
"59" "0b" 3 159082 72.002 36 "A"
"59" "2b" 4 200070 112.99 57 "A"
"59" "0b" 5 238071 150.991 76 "A"
"59" "2b" 6 274072 186.992 94 "A"
"59" "0b" 7 314073 226.993 114 "A"
"59" "2b" 8 352074 264.994 133 "A"
"59" "0b" 9 392075 304.995 153 "A"
"59" "2b" 10 427076 339.996 170 "A"
"59" "0b" 11 463077 375.997 188 "A"
"59" "2b" 12 504078 416.998 209 "A"
"60" "2b" 1 48472 0 1 "B"
"60" "0b" 2 88460 39.988 20 "B"
"60" "2b" 3 125461 76.989 39 "B"
"60" "0b" 4 163462 114.99 58 "B"
"60" "2b" 5 204463 155.991 78 "B"
"60" "0b" 6 243465 194.993 98 "B"
"60" "2b" 7 284466 235.994 118 "B"
"60" "0b" 8 324467 275.995 138 "B"
"60" "2b" 9 362468 313.996 157 "B"
"60" "0b" 10 397469 348.997 175 "B"
"60" "2b" 11 433470 384.998 193 "B"
"60" "0b" 12 469471 420.999 211 "B"
"61" "0b" 1 51138 0 1 "A"
"61" "2b" 2 92127 40.989 21 "A"
"61" "0b" 3 130127 78.989 40 "A"
"61" "2b" 4 165128 113.99 57 "A"
"61" "0b" 5 205129 153.991 77 "A"
"61" "2b" 6 241130 189.992 95 "A"
"61" "0b" 7 276131 224.993 113 "A"
"61" "2b" 8 313132 261.994 131 "A"
"61" "0b" 9 352134 300.996 151 "A"
"61" "2b" 10 390135 338.997 170 "A"
"61" "0b" 11 430136 378.998 190 "A"
"61" "2b" 12 471137 419.999 210 "A"
"62" "2b" 1 42391 0 1 "B"
"62" "0b" 2 82392 40.001 20 "B"
"62" "2b" 3 117393 75.002 38 "B"
"62" "0b" 4 156394 114.003 57 "B"
"62" "2b" 5 197395 155.004 78 "B"
"62" "0b" 6 233397 191.006 96 "B"
"62" "2b" 7 270398 228.007 114 "B"
"62" "0b" 8 308386 265.995 133 "B"
"62" "2b" 9 349387 306.996 154 "B"
"62" "0b" 10 384388 341.997 171 "B"
"62" "2b" 11 422389 379.998 190 "B"
"62" "0b" 12 462390 419.999 210 "B"
"63" "0b" 1 47472 0 1 "A"
"63" "2b" 2 84460 36.988 19 "A"
"63" "0b" 3 124461 76.989 39 "A"
"63" "2b" 4 159462 111.99 56 "A"
"63" "0b" 5 195463 147.991 74 "A"
"63" "2b" 6 236464 188.992 95 "A"
"63" "0b" 7 271465 223.993 112 "A"
"63" "2b" 8 307466 259.994 130 "A"
"63" "0b" 9 347468 299.996 150 "A"
"63" "2b" 10 388469 340.997 171 "A"
"63" "0b" 11 427470 379.998 190 "A"
"63" "2b" 12 465471 417.999 209 "A"
"64" "2b" 1 57658 0 1 "B"
"64" "0b" 2 97660 40.002 20 "B"
"64" "2b" 3 138661 81.003 41 "B"
"64" "0b" 4 176662 119.004 60 "B"
"64" "2b" 5 217650 159.992 80 "B"
"64" "0b" 6 253651 195.993 98 "B"
"64" "2b" 7 290652 232.994 117 "B"
"64" "0b" 8 329653 271.995 136 "B"
"64" "2b" 9 365655 307.997 154 "B"
"64" "0b" 10 400656 342.998 172 "B"
"64" "2b" 11 438657 380.999 191 "B"
"64" "0b" 12 478658 421 211 "B"
"65" "2b" 1 50187 0 1 "B"
"65" "0b" 2 90188 40.001 20 "B"
"65" "2b" 3 125189 75.002 38 "B"
"65" "0b" 4 160190 110.003 55 "B"
"65" "2b" 5 198192 148.005 74 "B"
"65" "0b" 6 234193 184.006 92 "B"
"65" "2b" 7 270194 220.007 110 "B"
"65" "0b" 8 308196 258.009 129 "B"
"65" "2b" 9 345197 295.01 148 "B"
"65" "0b" 10 385185 334.998 168 "B"
"65" "2b" 11 426186 375.999 188 "B"
"65" "0b" 12 465188 415.001 208 "B"
"66" "0b" 1 47846 0 1 "A"
"66" "2b" 2 85848 38.002 19 "A"
"66" "0b" 3 125836 77.99 39 "A"
"66" "2b" 4 162837 114.991 58 "A"
"66" "0b" 5 200838 152.992 77 "A"
"66" "2b" 6 236840 188.994 95 "A"
"66" "0b" 7 272841 224.995 113 "A"
"66" "2b" 8 307842 259.996 130 "A"
"66" "0b" 9 347843 299.997 150 "A"
"66" "2b" 10 388845 340.999 171 "A"
"66" "0b" 11 427846 380 190 "A"
"66" "2b" 12 468847 421.001 211 "A"
"67" "2b" 1 52859 0 1 "B"
"67" "0b" 2 92861 40.002 20 "B"
"67" "2b" 3 133862 81.003 41 "B"
"67" "0b" 4 169863 117.004 59 "B"
"67" "2b" 5 207865 155.006 78 "B"
"67" "0b" 6 246866 194.007 97 "B"
"67" "2b" 7 283867 231.008 116 "B"
"67" "0b" 8 323856 270.997 136 "B"
"67" "2b" 9 358856 305.997 153 "B"
"67" "0b" 10 393858 340.999 171 "B"
"67" "2b" 11 434859 382 191 "B"
"67" "0b" 12 472860 420.001 210 "B"
