,PHG,VC,PCC,mCC,Hipp ,Insula,MFG,MPFC,IFG,ACC,Crus,Ver,Md,Th,St,SM,PMC,STG,MTG,ITC
BLA,0.285129863,0.123289035,0.203659685,0.18310915,0.597420135,0.048491827,0.069507052,0.244997407,0.162575414,0.105349043,-0.00572665,0.108981273,0.141882849,0.103022199,0.154362501,0.326768221,0.275313525,0.429872658,0.358968572,0.358929491
CMA,0.120545244,0.105100816,0.007922118,0.053764699,0.277361996,0.171444568,0.027649264,0.068059703,0.121249977,0.09533004,0.081682288,0.089363945,0.132082572,0.216260305,0.325367881,0.120424483,0.174207881,0.191081167,0.140415334,0.127966278
