,PHG,VC,PCC,mCC,Hipp ,Insula,MFG,MPFC,IFG,ACC,Crus,Ver,Md,Th,St,SM,PMC,STG,MTG,ITC
BLA,0.621678724,0.38120792,0.412039644,0.54779603,0.787912039,0.464503037,0.470964965,0.498822634,0.515262872,0.410930328,0.317291522,0.466585724,0.510132475,0.438955626,0.570046541,0.617914302,0.610874101,0.715932749,0.674410943,0.651308165
CMA,0.40062613,0.215207746,0.328572981,0.445297624,0.548438733,0.415868093,0.353239412,0.389153945,0.384647239,0.421575403,0.271616393,0.339981232,0.417203006,0.503433323,0.6082753,0.377011422,0.397799543,0.479991429,0.465603159,0.422676709
