,PHG,VC,PCC,mCC,Hipp ,Insula,MFG,MPFC,IFG,ACC,Crus,Ver,Md,Th,St,SM,PMC,STG,MTG,ITC
BLA,0.561798381,0.283133989,0.326901701,0.487094974,0.815058856,0.3346504,0.284692507,0.43172153,0.490636482,0.441919202,0.250212982,0.445842564,0.511220475,0.433228025,0.505834886,0.539195219,0.495958541,0.688393544,0.612620103,0.595764011
CMA,0.387896796,0.21047871,0.222683632,0.427821378,0.561580983,0.454759367,0.26703943,0.364203894,0.451417952,0.450198221,0.389369706,0.38122607,0.499786427,0.562552247,0.697834704,0.379707093,0.389196161,0.527516287,0.456453339,0.406901399
