,PHG,VC,PCC,mCC,Hipp ,Insula,MFG,MPFC,IFG,ACC,Crus,Ver,Md,Th,St,SM,PMC,STG,MTG,ITC
BLA,0.357967149,0.161882465,0.16740306,0.197553518,0.741120234,0.097042768,0.019242201,0.228255598,0.218624785,0.164476131,0.048772703,0.211554021,0.28713668,0.201492787,0.246870202,0.355131967,0.28419924,0.480219827,0.383101854,0.414481471
CMA,0.070026536,0.030338289,-0.006453997,0.088978033,0.354677461,0.277100563,-0.037552138,0.074243545,0.13283098,0.133610713,0.216243959,0.118329968,0.278258933,0.351448248,0.54199762,0.117882424,0.118286412,0.179863777,0.104592875,0.117852845
