,PHG,VC,PCC,mCC,Hipp ,Insula,MFG,MPFC,IFG,ACC,Crus,Ver,Md,Th,St,SM,PMC,STG,MTG,ITC
BLA,0.489047019,0.242347798,0.258183027,0.35934928,0.789844249,0.240770126,0.187591234,0.346753383,0.383117518,0.335210111,0.165944529,0.362025136,0.432314061,0.325712842,0.39480965,0.460531086,0.398450374,0.60124957,0.51766145,0.526294868
CMA,0.239565618,0.124416905,0.11767609,0.273281274,0.459955518,0.38815759,0.140714806,0.228998091,0.304537428,0.309874422,0.312156299,0.255451544,0.400664358,0.470630003,0.625502254,0.251935958,0.260427655,0.366020074,0.289445717,0.265311384
